date,rate,country
2019-01,4.59,Canada
2019-02,4.52,Canada
2019-03,4.44,Canada
2019-04,4.33,Canada
2019-05,4.3,Canada
2019-06,4.23,Canada
2019-07,4.14,Canada
2019-08,4.08,Canada
2019-09,4.07,Canada
2019-10,4.09,Canada
2019-11,4.09,Canada
2019-12,4.08,Canada
2020-01,4.08,Canada
2020-02,4.08,Canada
2020-03,3.9,Canada
2020-04,3.95,Canada
2020-05,3.86,Canada
2020-06,3.77,Canada
2020-07,3.64,Canada
2020-08,3.57,Canada
2020-09,3.51,Canada
2020-10,3.45,Canada
2020-11,3.42,Canada
2020-12,3.34,Canada
2021-01,3.3,Canada
2021-02,3.25,Canada
2021-03,3.26,Canada
2021-04,3.25,Canada
2021-05,3.25,Canada
2021-06,3.26,Canada
2021-07,3.2,Canada
2021-08,3.2,Canada
2021-09,3.22,Canada
2021-10,3.29,Canada
2021-11,3.4,Canada
2021-12,3.45,Canada
2022-01,3.44,Canada
2022-02,3.58,Canada
2022-03,3.77,Canada
2022-04,4.19,Canada
2022-05,4.63,Canada
2022-06,5.05,Canada
2022-07,5.51,Canada
2022-08,5.58,Canada
2022-09,5.64,Canada
2022-10,5.75,Canada
2022-11,5.88,Canada
2022-12,5.89,Canada
2023-01,5.86,Canada
2023-02,5.81,Canada
2023-03,5.81,Canada
2023-04,5.75,Canada
2023-05,5.74,Canada
2023-06,5.85,Canada
2023-07,5.99,Canada
2023-08,6.17,Canada
2023-09,6.27,Canada
2023-10,6.42,Canada
2023-11,6.47,Canada
2023-12,6.39,Canada
2024-01,6.31,Canada
2024-02,6.15,Canada
2024-03,6.13,Canada
2024-04,6.08,Canada
2024-05,6.05,Canada
2024-06,5.98,Canada
2024-07,5.91,Canada
2024-08,5.73,Canada
2024-09,5.55,Canada
2024-10,5.44,Canada
2024-11,5.38,Canada
2024-12,5.35,Canada
2019-01,1.72,UK
2019-02,1.7,UK
2019-03,1.7,UK
2019-04,1.66,UK
2019-05,1.65,UK
2019-06,1.64,UK
2019-07,1.61,UK
2019-08,1.59,UK
2019-09,1.55,UK
2019-10,1.47,UK
2019-11,1.41,UK
2019-12,1.42,UK
2020-01,1.41,UK
2020-02,1.4,UK
2020-03,1.4,UK
2020-04,1.38,UK
2020-05,1.42,UK
2020-06,1.41,UK
2020-07,1.45,UK
2020-08,1.6,UK
2020-09,1.75,UK
2020-10,1.94,UK
2020-11,1.92,UK
2020-12,1.86,UK
2021-01,1.75,UK
2021-02,1.61,UK
2021-03,1.56,UK
2021-04,1.49,UK
2021-05,1.47,UK
2021-06,1.39,UK
2021-07,1.29,UK
2021-08,1.23,UK
2021-09,1.2,UK
2021-10,1.29,UK
2021-11,1.53,UK
2021-12,1.57,UK
2022-01,1.64,UK
2022-02,1.78,UK
2022-03,2.14,UK
2022-04,2.35,UK
2022-05,2.63,UK
2022-06,2.87,UK
2022-07,3.48,UK
2022-08,3.6,UK
2022-09,4.17,UK
2022-10,5.99,UK
2022-11,5.98,UK
2022-12,5.43,UK
2023-01,5.14,UK
2023-02,4.79,UK
2023-03,4.74,UK
2023-04,4.6,UK
2023-05,4.72,UK
2023-06,5.49,UK
2023-07,6.22,UK
2023-08,6.18,UK
2023-09,5.91,UK
2023-10,5.6,UK
2023-11,5.28,UK
2023-12,5.03,UK
2024-01,4.71,UK
2024-02,4.76,UK
2024-03,4.96,UK
2024-04,4.98,UK
2024-05,5.19,UK
2024-06,5.16,UK
2024-07,4.99,UK
2024-08,4.8,UK
2024-09,4.58,UK
2024-10,4.4,UK
2024-11,4.53,UK
2024-12,4.6,UK
2019-01,4.464,USA
2019-02,4.37,USA
2019-03,4.265,USA
2019-04,4.1425,USA
2019-05,4.072,USA
2019-06,3.8024999999999998,USA
2019-07,3.765,USA
2019-08,3.6159999999999997,USA
2019-09,3.605,USA
2019-10,3.6879999999999997,USA
2019-11,3.6950000000000003,USA
2019-12,3.72,USA
2020-01,3.624,USA
2020-02,3.4650000000000003,USA
2020-03,3.45,USA
2020-04,3.306,USA
2020-05,3.2325,USA
2020-06,3.1625,USA
2020-07,3.016,USA
2020-08,2.935,USA
2020-09,2.89,USA
2020-10,2.834,USA
2020-11,2.765,USA
2020-12,2.684,USA
2021-01,2.735,USA
2021-02,2.81,USA
2021-03,3.0825,USA
2021-04,3.06,USA
2021-05,2.9625,USA
2021-06,2.975,USA
2021-07,2.868,USA
2021-08,2.8425000000000002,USA
2021-09,2.9,USA
2021-10,3.0675,USA
2021-11,3.0675,USA
2021-12,3.098,USA
2022-01,3.4450000000000003,USA
2022-02,3.7625,USA
2022-03,4.172,USA
2022-04,4.9825,USA
2022-05,5.2299999999999995,USA
2022-06,5.522,USA
2022-07,5.4125,USA
2022-08,5.2225,USA
2022-09,6.112,USA
2022-10,6.9,USA
2022-11,6.805,USA
2022-12,6.364,USA
2023-01,6.2725,USA
2023-02,6.2575,USA
2023-03,6.544,USA
2023-04,6.342499999999999,USA
2023-05,6.425,USA
2023-06,6.714,USA
2023-07,6.84,USA
2023-08,7.072,USA
2023-09,7.2,USA
2023-10,7.62,USA
2023-11,7.442,USA
2023-12,6.815,USA
2024-01,6.6425,USA
2024-02,6.776000000000001,USA
2024-03,6.82,USA
2024-04,6.9925,USA
2024-05,7.06,USA
2024-06,6.9175,USA
2024-07,6.8475,USA
2024-08,6.5,USA
2024-09,6.18,USA
2024-10,6.428,USA
2024-11,6.805,USA
2024-12,6.715,USA
